normalized_name,counts
garlic,1802
onion,1794
tomato,1489
carrot,1011
unsalted butter,975
butter,955
sugar,859
salt,795
scallion,788
olive oil,787
potato,776
egg,727
parsley,711
ginger,649
lemon,595
water,550
mushroom,532
shallot,520
flour,477
all purpose flour,476
thyme,470
leek,467
celery,442
extra virgin olive oil,430
cilantro,407
shrimp,407
chicken,390
milk,389
lemon juice,387
basil,374
chicken stock,369
oil,368
basil leaf,348
apple,340
red onion,329
almond,326
black pepper,323
zucchini,319
plum tomato,317
rosemary,310
red bell pepper,299
bacon,296
orange,290
chicken broth,284
cucumber,275
bread crumb,272
bread,266
lime,264
red pepper,264
kosher salt,257
chive,256
mint,253
garlic clove,252
vegetable oil,246
heavy cream,246
walnut,240
chicken breast,239
eggplant,234
pepper,229
rice,227
soy sauce,225
cinnamon,222
spinach,222
lime juice,220
mint leaf,216
stock,211
brown sugar,201
parmesan cheese,200
fennel,198
red pepper flake,196
dill,194
parmesan,185
chocolate,183
caper,177
anchovy,175
jalapeno pepper,174
coriander,173
yogurt,172
beef,168
oregano,167
confectioner sugar,165
corn,163
salmon,162
tarragon,162
asparagus,161
sage,160
jalapeno,159
strawberry,159
celery rib,157
pork,156
cheese,155
nutmeg,155
pea,154
honey,153
green pepper,153
olive,147
pecan,146
cabbage,143
creme fraiche,141
parsley leaf,140
avocado,139
thyme leaf,138
coriander seed,138
beet,136
white onion,136
mustard,134
lamb,134
bean,133
bay leaf,133
pear,133
dry white wine,133
peanut oil,131
red wine vinegar,130
sea salt,129
vinegar,128
goat cheese,127
cilantro leaf,127
cumin seed,127
mussel,126
cornstarch,123
sour cream,122
orange juice,122
arugula,121
sesame oil,118
sweet potato,117
turnip,117
vanilla bean,116
buttermilk,115
butternut squash,115
cornmeal,115
shiitake mushroom,113
mayonnaise,111
sage leaf,110
black olive,110
watercress,110
paprika,109
green bell pepper,109
white wine,109
clove,109
cauliflower,107
raisin,106
salt and pepper,105
yellow onion,105
black peppercorn,104
canola oil,104
sesame seed,102
granulated sugar,102
cayenne,101
radish,100
cayenne pepper,100
cherry tomato,99
sherry vinegar,98
tuna,98
chickpea,98
hazelnut,97
parmigiano reggiano,97
whole wheat flour,97
fish sauce,97
prosciutto,97
italian parsley,96
baking powder,96
cranberry,95
corn kernel,95
turkey,95
pine nut,94
chicken thigh,94
dijon mustard,93
red wine,93
horseradish,93
green bean,92
parsnip,92
ham,92
apricot,91
peppercorn,91
mango,90
fennel bulb,89
bell pepper,89
herb,89
celery root,88
pancetta,88
raspberry,88
flat leaf parsley,87
whole milk,87
broccoli,86
coriander leaf,85
balsamic vinegar,85
pasta,85
pineapple,85
light brown sugar,84
coconut milk,84
cherry,84
sausage,83
bouquet garni,83
cream cheese,83
vanilla extract,83
saffron,83
banana,83
rhubarb,82
lemon grass,81
squid,81
baking soda,81
gruyere cheese,80
tomato paste,80
peanut,80
lettuce,80
coconut,80
peach,79
fish stock,79
fine sea salt,78
white wine vinegar,78
salt and black pepper,77
fennel seed,77
cheddar cheese,76
black bean,76
neutral oil,76
chili powder,75
maple syrup,75
lobster,75
vegetable stock,75
sea scallop,75
oyster,73
chervil,73
ricotta,73
white pepper,72
blueberry,72
corn oil,72
cake flour,72
brussels sprout,72
cumin,71
duck,70
pumpkin,70
lemon zest,70
dark brown sugar,70
mozzarella,69
white bread,69
pistachio,69
ginger root,69
fig,68
prune,67
rosemary leaf,67
brandy,67
chili pepper,67
tofu,67
gelatin,67
fresh thyme,66
salmon fillet,66
artichoke,65
bittersweet chocolate,64
sweet red pepper,64
swiss chard,64
anchovy fillet,63
allspice,63
egg yolk,62
marjoram,62
cognac,62
baguette,62
kale,62
feta cheese,61
chilies,61
turmeric,61
cream,61
clam,60
cocoa powder,60
bourbon,60
yeast,60
egg white,60
dry red wine,59
rice vinegar,59
broth,59
cinnamon stick,58
curry powder,58
radicchio,58
orange peel,58
leg of lamb,58
endive,57
fresh lemon juice,57
veal,57
fish,56
date,56
tart apple,56
fava bean,55
scallop,55
orange zest,54
crab meat,54
white vinegar,54
whipped cream,54
chestnut,53
yellow bell pepper,53
lentil,53
tomato sauce,53
beef broth,53
worcestershire sauce,53
grapeseed oil,53
tarragon leaf,52
spinach leaf,52
tomato puree,52
white rice,52
gin,52
pork shoulder,52
apple cider,52
dry yeast,51
red potato,51
beef stock,51
green,51
lard,51
green olive,51
mirin,50
dark rum,50
vodka,50
lemon peel,49
unbleached all purpose flour,49
chili,49
golden raisin,49
rice wine vinegar,49
plum,49
cider vinegar,49
dry sherry,49
fresh ginger,48
country bread,48
caraway seed,48
rum,48
tabasco sauce,48
currant,48
half and half,48
ricotta cheese,47
hot sauce,46
gruyere,46
serrano chile,46
tomatillo,46
baby carrot,45
walnut oil,45
plain yogurt,45
granny smith apple,45
star anise,45
artichoke heart,45
green onion,45
romaine lettuce,44
morel,44
broccoli rabe,44
yukon gold potato,44
couscous,44
fresh parsley,43
chicken liver,43
russet potato,43
pumpkin puree,43
mustard seed,43
turkey breast,43
lemongrass,43
parmigiano reggiano cheese,42
ground cinnamon,42
low fat milk,42
feta,42
sun dried tomato,42
corn tortilla,42
red chili pepper,42
vegetable broth,41
tabasco,41
watermelon,41
pork loin,41
blackberry,41
white bean,41
active dry yeast,41
cod,41
sweet butter,41
brown rice,41
chopped cilantro,40
berry,40
corn syrup,40
mild honey,40
cardamom,40
pumpkin seed,40
juniper berry,40
hot red pepper flake,40
pastry,40
basmati rice,40
lemon rind,39
vegetable shortening,39
blue cheese,39
littleneck clam,39
sherry,39
beer,39
rice wine,38
molasses,38
simple syrup,38
jicama,38
duck breast,38
spanish onion,38
winter squash,38
green cabbage,38
saffron thread,38
apple cider vinegar,38
peanut butter,37
linguine,37
red cabbage,37
fresh rosemary,37
quinoa,37
baby spinach,37
cardamom pod,37
idaho potato,37
clove garlic,37
freshly ground black pepper,37
ice,37
puff pastry,36
vanilla ice cream,36
slab bacon,36
bulgur,36
yellow cornmeal,36
ground black pepper,36
rabbit,36
polenta,36
ketchup,35
mozzarella cheese,35
snow pea,35
oregano leaf,35
spaghetti,35
lettuce leaf,35
large egg,34
chopped parsley,34
okra,34
cocoa,34
plain low fat yogurt,34
medium onion,34
arborio rice,34
grape,34
sake,34
belgian endive,33
halibut,33
salted butter,33
bean sprout,33
freshly grated parmesan,33
red chilies,32
grapefruit,32
fresh mint,32
chicken leg,32
allspice berry,32
fruit,32
oat,31
grand marnier,31
green pea,31
french bread,31
squash,31
quail,31
ripe tomato,31
noodle,31
dry vermouth,31
egg noodle,31
sweet paprika,31
ice water,30
greek yogurt,30
minced garlic,30
collard green,30
